Year,Mileage,City,State,Vin,Make,Model
2015,36910,San Marcos, TX,1GTR1UEH4FZ319500,GMC,Sierra
2008,60225,Lexington, KY,WMWRF33508TG19500,MINI,Cooper
2002,38912,Houston, TX,WP0AB29912S685161,Porsche,911
2016,34773,Ozark, AL,19XFC2F7XGE047619,Honda,Civic
2014,22238,Granite City, IL,2FMDK3JC5EBB09612,Ford,EdgeSEL
2015,22738,Kirkland, WA,3VW2A7AU6FM024001,Volkswagen,Golf4-Door
2008,142925,Harrisburg, PA,4T1BB46K28U061482,Toyota,Camry
2014,34315,Avon, IN,2T1BURHE0EC154352,Toyota,CorollaS
2011,107891,Richfield, UT,1D4SE5GT0BC695687,Dodge,DurangoAWD
2004,63791,Bryan, TX,1G1YY22G945123413,Chevrolet,Corvette2dr
2011,67952,Belleville, IL,1B3CB3HA1BD261799,Dodge,Caliber4dr
2013,31553,Burley, ID,KM8JUCAC6DU617562,Hyundai,TucsonLimited
2015,15529,Homewood, IL,WAUCGAFH8FN006438,Audi,S5Cabriolet
2013,58543,Virginia Beach, VA,2C3CDXBG0DH639263,Dodge,ChargerSE
2013,36856,Flemington, NJ,JN1BY1AR0DM604329,INFINITI,M37M37x
2016,36043,Oceanside, CA,4T1BF1FK7GU131186,Toyota,CamryLE
2016,19090,Leesville, LA,3GCUKREC7GG128406,Chevrolet,Silverado
2006,95326,Winnsboro, LA,3N1CB51D86L546470,Nissan,Sentra4dr
2010,115989,Bristol, WI,2T3ZF4DV0AW045259,Toyota,RAV4FWD
2013,26046,Virginia Beach, VA,2G4GT5GV7D9247236,Buick,RegalTurbo
2014,103480,Teterboro, NJ,JM1GJ1W51E1100467,Mazda,Mazda6Grand
2016,36464,Cranston, RI,3LN6L2J96GR611490,Lincoln,MKZAWD
2014,56306,Lubbock, TX,3GCPCREC9EG120377,Chevrolet,Silverado
2005,130682,Santa Ana, CA,1GNDT13S352141417,Chevrolet,TrailBlazer4dr
2016,24811,Ankeny, IA,1C6RR7NT7GS153327,Ram,"1500Laramie,"
2011,74454,Barrington, IL,1GKKVSED3BJ312154,GMC,AcadiaAWD
2014,61418,VIRGINIA BEACH, VA,2T1BURHE6EC021840,Toyota,CorollaLE
2009,105945,Des Moines, IA,1GNER23D69S169812,Chevrolet,TraverseFWD
2015,62831,Martin, TN,1GC1KXE88FF601149,Chevrolet,Silverado
2015,8862,Lynbrook, NY,1N4AL3AP2FC116211,Nissan,Altima2.5
2014,28680,Odessa, TX,2C3CCAGG1EH352640,Chrysler,300300S
2013,41744,Hemet, CA,3C4PDCBG1DT558348,Dodge,JourneySXT
2016,38855,New Bern, NC,1FADP3K25GL276864,Ford,FocusHatchback
2016,10236,Rochester, MN,2GNALDEKXG1124943,Chevrolet,EquinoxFWD
